what,apa
how,bagaimana
also,juga
blur,buram
elah,allah
mulu,selalu
nongol,muncul
bug,virus
sekolahhh,sekolah
sekolahh,sekolah
leyeh,santai
thank ,terimakasih
you,kamu
mood,suka
ofline,luring
knp,kenapa
power,kekuatan
mkn,makan
bs,bisa
yaallah,allah
ajaa,saja
ancur,hancur
facial,perawatan muka
nder,teman
rapog,raport
sbb,karena
pgi,pagi
liat,lihat
off,mati
assignment,tugas
assignments,tugas
right,benar
so,jadi
kal,kalian
gt,gitu
duhh,aduh
trs,terus
logout,keluar
amattt,sekali
kaliii,kali
yaah,ya
xmau,tidak
bljar,belajar
pingin,ingin
somehow,bagaimana
miss,rindu
life,hidup
almost,hampir
every,setiap
day,hari
meninggoy,mati
idup,hidup
interacting,interaksi
with,dengan
people,orang
blas,sekali
standart,standar
amburadul,acak
atuh,aduh
bat,sekali
bangettt,sekali
mmbuat,buat
anjj,anjing
screenshots,screenshot
krn,karena
runut,runtut
bnyk,banyak
emak,ibu
ud,sudah
samaa,sama
sedihhh,sedih
sedihh,sedih
banyaaak,banyak
banyaak,banyak
rilek,santai
je,saja
exam,ujian
dahla,sudah
tak,tidak
room,ruang
worth it,guna
storytell,cerita
ttg,tentang
bosen,bosan
bocah,anak
fis,fisika
bio,biologi
ujan,hujan
gada,tidak
udahlah,sudah
sambi,sambil
gimanaaa,bagaimana
ak,aku
ayok,ayo
reply,balas
too,juga
pusingg,pusing
pusinggg,pusing
duh,aduh
kls,kelas
krna,karena
feel,merasa
u,kamu
ade,adik
lg,lagi
pngn,ingin
spt,seperti
duel,tanding
circle,lingkaran
kopid,covid
cok,jancuk
semangatt,semangat
semangattt,semangat
have,punya
nice,baik
first,pertama
all,semua
sbaikmya,baik
anxiety,gelisah
submit,kirim
etc,dsb
dll,dsb
sekarangg,sekarang
course,kursus
courses,kursus
kesel,kesal
super,sangat
mencar,pisah
ato,atau
udeh,sudah
enggak,tidak
smt,semester
workshop,seminar
amat,sekali
kdg,kadang
karna,karena
tpb,tapi
see,melihat
mayan,lumayan
mayann,lumayan
pdaku,pada
secape,kesal
time,waktu
w,aku
setaun,tahun
taun,tahun
mamposla,mati
focus,fokus
twit,twitter
cepet,cepat
help,bantu
emg,memang
gmn,bagaimana
lets,ayo
support,dukung
each,sesama
other,lain
public,publik
speaking,bicara
poll,paling
kea,seperti
gestur,sikap
gesture,sikap
enaaa,enak
haih,aduh
jhe,saja
face,wajah
to,ke
convert,konfersi
clinical,klinik
years,tahun
inimah,ini
abistu,habis
february,februari
january,januari
reti,sampai
wis,sudah
wae,saja
apply,lamar
project,proyek
twit,twitter
respect,hormat
kudu,harus
them,mereka
set,setengah
bsk,besok
hadie,aduh
iyha,iya
mama,ibu
mami,ibu
jug,juga
then,lalu
fully,penuh
boss,bos
hallo,halo
aje,saja
bundz,ibu
apus,hapus
itung,hitung
nnton,nonton
trouble,masalah
diuruss,urus
njir,anjing
takda,tidak
gtgt,gitu
practical,praktikal
boong,bohong
kepake,pakai
suke,suka
sapa,siapa
semuanyaaaaaa,semua
student,siswa
students,siswa
slalu,selalu
miiin,admin
telp,telpon
aj,saja
mudeng,paham
loss,hilang
ilang,hilang
emmak,ibu
jjur,jujur
bru,baru
semwa,semua
gedeg,kesal
yabalik,balik
and,dan
login,masuk
mo,ingin
ngapaain,apa
offcam,tutup kamera
oncam,buka kamera
bomat,bodoamat
sad,sedih
mmg,memang
masuklh,masuk
diem,diam
bln,bulan
je,saja
jatoh,jatuh
jatohnya,jatuh
mmf,maaf
jbjb,tiba
gtu,gitu
heyy,halo
morning,pagi
dh,sudah
gi,lagi
smngt,semangat
kuis,quiz
cardi,cardigan
kampretos,kampret
wkt,waktu
bestfriend,teman
morningg,pagi
morninggg,pagi
kak,kakak
everyone,semua
met,selamat
she,dia
like,seperti
ngadi,ada
split,pisah
saking,sampai
smkin,semakin
rajiiiin,rajin
stand by,siap
pls,tolong
uda,sudah
shit,tahi
shits,tahi
really,benar
need,butuh
someone,orang
talk,bicara
bodo,bodoh
amat,sekali
group,grup
adek,adik
masi,masih
school,sekolah
relate,hubung
gimanaa,bagaimana
puyeng,pusing
achievement,penghargaan
tai,tahi
kasi,kasih
leha,santai
perfect,sempurna
attendaance,hadir
jawapan,jawaban
jadual,jadwal
hape,hp
slow,lambat
noti,pemberitahuan
because,karena
sekaliii,sekali
msh,masih
inget,ingat
bang,kakak
last,akhir
hapyyy,senang
dikick,usir
intern,magang
tidurrrrrr,tidur
ngzoom,zoom
damn,sial
mostly,sering
braw,kakak
temen,teman
cont,lanjut
sregep,rajin
jugaaa,juga
blended,gabung
dg,dengan
kanca,teman
akeh,banyak
seko,dari
lol,tertawa
ges,teman
flat,datar
fandom,fan
fangirl,fan
abang,kakak
ttp,tetap
moto,foto
anjirt,anjing
fak,anjing
abs,habis
wtf,anjing
out,keluar
drpd,daripada
puter,putar
make,buat
waktuny,waktu
selaluu,selalu
troboos,trobos
berenti,berhenti
stop,berhenti
emhnya,memang
td,tadi
grgr,gara
sob,teman
ngga,tidak
stupid,bodoh
nyambi,sambil
badmood,murung
demen,suka
kolor,boxer
diaa,dia
diaaa,dia
bukaan,bukan
international,internasional
officeeee,kantor
free,gratis
gitcu,gitu
darii,dari
uni,universitas
buna,ibu
bunanya,ibu
upload,unggah
story,cerita
kalii,kali
positip,positif
brooooooo,teman
bruuuhhhh,teman
webminar,webinar
skolah,sekolah
gimanasi,bagaimana
skap,skip
cmn,cuma
gblk,bodoh
jim,anjing
eek,beol
cuk,jancuk
sgt,sangat
taekk,tahi
that,itu
hate,benci
college,kuliah
offlen,luring
offlennya,luring
dama,sama
gapapaa,tidak apa
tell,beritahu
us,kami
will,akan
nannya,tanya
anjrit,anjing
smpt,sempat
ayen,aku
univ,universitas
nile,nilai
anjlog,turun
boi,anak
siah,bagaimana
napas,nafas
bernapas,nafas
robb,allah
dgrin,dengar
sek,masih
dikongkon,suruh
kongkon,suruh
najan,karena
salahno,salah
dkk,dsb
mder,teman
dat,itu
prnh,pernah
mhswnya,mahasiswa
mhsw,mahasiswa
kick,usir
paniiikkk,panik
paniikkk,panik
idupin,hidup
rank,peringkat
fav,favorit
masup,masuk
psti,pasti
dpn,depan
kamerlah,kamera
kamer,kamera
bangett,sekali
ngntuk,ngantuk
yutub,youtube
reeeeekk,teman
bangeeeeeeeeddd,sekali
even,bahkan
biasae,biasa
ttg,tentang
trmsk,termasuk
subject,subjek
he,dia
wants,ingin
happy,senang
combination,kombinasi
dude,teman
what,apa
wrong,salah
crack,pecah
serek,serak
or,atau
jwb,jawab
scr,secara
balance,imbang
left,keluar
kat,dekat
dek,dik
nyokap,ibu
bokap,bapak
wit,twitter
brisik,berisik
bcs,karena
dikasi,kasih
slese,selesai
mggu,minggu
menabahh,tambah
nabah,tambah
gasin,gas
gass,gas
gasss,gas
hayu,ayo
abah,bapak
sklh,sekolah
boring,bosan
pagiiiiii,pagi
hayo,ayo
home,rumah
ketiwi,tawa
ketawa,tawa
sampe,sampai
alfa,alpa
hr,hari
br,baru
mincot,admin
iyhh,iya
team,grup
gemeter,getar
kelar,selesai
kaak,kakak
bobooo,tidur
bobo,tidur
bobok,tidur
njirrrr,anjing
mellow,lembut
prefer,suka
naok,naik
naro,taruh
by,dari
ori,asli
yt,youtube
jk,gurau
mtk,matematika
saiki,sekarang
blass,blas
po,apa
call,telpon
mhs,mahasiswa
tauu,tahu
arek,anak
ambis,ambisius
blank,kosong
sja,saja
voice,suara
syg,sayang
fake,palsu
mblenger,terlalu
walo,walau
walopun,walau
kekeuh,kukuh
yaambunnn,allah
punggu,punggung
alesan,alasan
redirect,alih
nyatet,catat
bakal,akan
bakalan,akan
bkalan,akan
leave,keluar
cengini,siang
gi,lagi
dm,pesan
volunteer,relawan
kagok,susah
ngelambe,bicara
personal,pribadi
rotate,putar
takpa,tidak apa
dpt,dapat
ssejak,sejak
coroni,corona
beres,selesai
sumpahh,sumpah
sumpahhh,sumpah
tuhhh,itu
harusnyaa,harus
praktek,praktik
les,kursus
mimin,admin
mas,kakak
bapack,bapak
drop,jatuh
pulak,pula
give,beri
away,jauh
aslii,asli
mksudnya,maksud
mksud,maksud
kyknya,seperti
ja,saja
duk,duduk
cakap,bicara
rejeki,rezeki
rizki,rezeki
rizkinya,rezeki
rejekinya,rezeki
ujan,hujan
maybe,mungkin
brou,kakak
keep,simpan
spirit,semangat
